"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"AC055811.3",2.04973582831391e-47,2.7153392466176,0.217,0.003,7.49096455815602e-43,"Upregulated in Hotspots"
"ASH1L-AS1",2.05541066507832e-47,-0.852371276330186,0.836,0.793,7.51170381659522e-43,"Upregulated in Coldspots"
"AL132656.2",2.16442314488048e-47,1.26461034051736,0.286,0.032,7.91010082528021e-43,"Upregulated in Hotspots"
"CD9",2.1667886668059e-47,-3.57264547866811,0.993,0.922,7.91874586170885e-43,"Upregulated in Coldspots"
"AL137139.2",2.21136630248459e-47,-1.5545986788208,0.401,0.641,8.08165928906017e-43,"Upregulated in Coldspots"
"AC018878.1",2.30661755129021e-47,3.01960205833758,0.315,0.059,8.42976450294522e-43,"Upregulated in Hotspots"
"AC034195.1",2.35715044807829e-47,0.921994103973501,0.993,0.841,8.61444202754693e-43,"Upregulated in Hotspots"
"PCMT1",2.46655841881376e-47,-0.875458445015233,1,1,9.01428439739677e-43,"Upregulated in Coldspots"
"AL357172.1",2.56529889033336e-47,-4.36856275592304,0.021,0.249,9.3751413246123e-43,"Upregulated in Coldspots"
"LINC00355",2.56884170487445e-47,1.47366920212675,0.445,0.12,9.38808889463415e-43,"Upregulated in Hotspots"
"GDAP1",2.60180375227203e-47,-2.65112140811656,0.491,0.662,9.50855199305337e-43,"Upregulated in Coldspots"
"PSMB8-AS1",2.6406076249062e-47,0.704815087374421,0.432,0.097,9.6503646259822e-43,"Upregulated in Hotspots"
"RUBCN",2.70071761277637e-47,1.38345582089705,1,0.89,9.87004258765253e-43,"Upregulated in Hotspots"
"TRIM52-AS1",2.71738649758103e-47,-1.09635011606027,0.871,0.87,9.93096069405965e-43,"Upregulated in Coldspots"
"HOMER3-AS1",2.71756370880131e-47,2.46985335406837,0.22,0.004,9.93160833018527e-43,"Upregulated in Hotspots"
"AL159169.2",2.76102980382452e-47,1.22182664618786,0.276,0.028,1.00904595210571e-42,"Upregulated in Hotspots"
"AC005753.3",2.80716254210318e-47,1.50261477996007,0.221,0.006,1.02590562263703e-42,"Upregulated in Hotspots"
"AC009118.3",2.82717840269432e-47,1.00098552853329,0.25,0.015,1.03322061904867e-42,"Upregulated in Hotspots"
"AL512283.1",2.92106560571591e-47,2.18107380281141,0.256,0.02,1.06753263626494e-42,"Upregulated in Hotspots"
"YAF2",2.93424192472511e-47,0.336374032338655,1,1,1.07234805381004e-42,"Upregulated in Hotspots"
"AC139019.1",2.96746012881111e-47,1.07571307603074,0.346,0.061,1.08448797867531e-42,"Upregulated in Hotspots"
"DNAH2",2.98502603497317e-47,-3.79647377469037,0.744,0.671,1.0909076147413e-42,"Upregulated in Coldspots"
