"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"maternal macrophages","unknown2",-0.66745786309611,0,0.6,0.898933149950989,8,8,"density_stratified",1,-0.6,0,-29.8973528539863,0.821729480730685,FALSE
"STB","unknown2",1.40609281090828,4,1.71,1.62862648953781,8,8,"density_stratified",1,2.29,2.33918128518177,1.2260036746619,0.534900432988949,FALSE
"unknown2","unknown2",-0.354545453578512,0,0.13,0.366666666666667,8,8,"density_stratified",1,-0.13,0,-29.8973528539863,0.908697983636726,FALSE
"unknown3","unknown2",-0.401771407249022,1,1.54,1.34404785869576,8,8,"density_stratified",1,-0.54,0.649350648928993,-0.622930349635241,0.893818583212809,FALSE
"vCTB2","unknown2",-0.797764734031555,4,5.8,2.25630429927106,8,8,"density_stratified",1,-1.8,0.689655172294887,-0.536052898397043,0.786999471315445,FALSE
"vCTBp","unknown2",-0.215984291845115,0,0.06,0.277797979063414,8,8,"density_stratified",1,-0.06,0,-29.8973528539863,0.942711331523747,FALSE
"Endothelial_cells","unknown3",-0.355850061803078,9,10.14,3.20359646382473,8,8,"density_stratified",1,-1.14,0.887573964409509,-0.172060744303145,0.908133048790835,FALSE
"EVT2","unknown3",0.0547197404652333,29,28.69,5.66523154732871,8,8,"density_stratified",1,0.309999999999999,1.01080515855661,0.0155049335106199,0.982747750544711,FALSE
"EVT3","unknown3",-0.355966210147936,6,7.07,3.00590328278449,8,8,"density_stratified",1,-1.07,0.848656294080812,-0.236747712817601,0.908133048790835,FALSE
"Fibroblast1","unknown3",-2.12852892842788,10,21,5.16788841859716,8,8,"density_stratified",1,-11,0.4761904761678,-1.07038932493044,0.237014254395628,FALSE
"Fibroblast2","unknown3",-0.858554793866208,133,143.79,12.5676311823411,8,8,"density_stratified",1,-10.79,0.924960011120906,-0.1125370985145,0.767087810931569,FALSE
"Hofbauer cells","unknown3",0.0781843941563044,51,50.38,7.92997127639467,8,8,"density_stratified",1,0.619999999999997,1.01230647080166,0.0176461264084995,0.978752794504716,FALSE
"maternal macrophages","unknown3",-1.50471293951413,2,5.05,2.0269646910062,8,8,"density_stratified",1,-3.05,0.396039603881972,-1.33628338450731,0.495149787801966,FALSE
"STB","unknown3",1.99417893564531,21,13.42,3.80106311550871,8,8,"density_stratified",1,7.58,1.56482861389234,0.646004657167749,0.281548872294134,FALSE
"unknown2","unknown3",-1.26514388950837,0,1.66,1.31210371602864,8,8,"density_stratified",1,-1.66,0,-29.8973528539863,0.601939826385793,FALSE
"unknown3","unknown3",-0.475612415751891,12,13.92,4.03690050119713,8,8,"density_stratified",1,-1.92,0.862068965455311,-0.214124803782963,0.879140373527873,FALSE
"vCTB2","unknown3",-0.184001389112687,51,52.48,8.04341753588396,8,8,"density_stratified",1,-1.48,0.971798780469287,-0.0412704714147922,0.949156209538773,FALSE
"vCTBp","unknown3",-0.82529312412423,0,0.88,1.06628781150761,8,8,"density_stratified",1,-0.88,0,-29.8973528539863,0.778787998027705,FALSE
"Endothelial_cells","vCTB2",1.14577804267092,48,40.2,6.80760121800876,8,8,"density_stratified",1,7.8,1.19402985071657,0.255838905601959,0.652577505431385,FALSE
"EVT2","vCTB2",0.201682376553762,114,111.76,11.106572810546,8,8,"density_stratified",1,2.23999999999999,1.02004294916768,0.0286298999314418,0.945038282579912,FALSE
"EVT3","vCTB2",-1.29939467293126,21,29.64,6.649249976691,8,8,"density_stratified",1,-8.64,0.708502024267594,-0.497156117764762,0.586641071219983,FALSE
"Fibroblast1","vCTB2",1.03084294300564,90,80.79,8.93443570765056,8,8,"density_stratified",1,9.20999999999999,1.11399925732004,0.155748272158773,0.697940239230824,FALSE
