"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0090703567032005,0.255260822101822,0.452,0.383,1,"N5","CAMKMT"
0.00908132870042763,0.294366613099413,0.637,0.583,1,"N5","MAGI1"
0.00910281491878379,0.292209412505517,0.278,0.221,1,"N5","ATP6V1C1"
0.00914148295776722,0.574253905008762,0.255,0.206,1,"N5","MEF2C"
0.00923095915741199,0.479235455854303,0.179,0.134,1,"N5","CPEB2"
0.00937599584940246,0.361237745867617,0.288,0.235,1,"N5","TRPS1"
0.0094232985096826,0.53172097819489,0.19,0.144,1,"N5","MATR3.1"
0.0094321247529683,0.498054435497991,0.181,0.135,1,"N5","SPAG16"
0.00950407918178303,0.42847356660275,0.147,0.105,1,"N5","MIR646HG"
0.00957120053316146,0.256553191213838,0.247,0.192,1,"N5","ATP5MC2"
0.00957634880702122,0.716642780692669,0.13,0.092,1,"N5","CD302"
0.00972536389651611,0.674631144812733,0.126,0.088,1,"N5","AC024145.1"
0.00977557909784364,0.277360301633569,0.196,0.145,1,"N5","OSTM1"
0.00980931356691231,0.442931864259904,0.123,0.084,1,"N5","HGS"
0.00982719513396528,0.400310148698826,0.152,0.108,1,"N5","VAMP4"
1.5526378760647e-10,0.732249501899555,0.317,0.163,3.42869022171367e-06,"N3","XIST"
5.71676319002141e-10,0.492973034016558,0.852,0.794,1.26243281525243e-05,"N3","SIK3"
1.32829214033787e-09,1.13654247618351,0.328,0.191,2.93326753350811e-05,"N3","SLC24A3"
5.86700278438675e-09,0.887290777661514,0.301,0.168,0.000129561022487613,"N3","SPRY4-AS1"
1.09489978530514e-08,0.324020794060805,0.973,0.976,0.000241786719588935,"N3","FTX"
3.80728688679242e-08,0.841458803427994,0.306,0.181,0.00084076316321037,"N3","FAM118A"
4.07034169762382e-08,0.67727451339812,0.363,0.226,0.000898853557086267,"N3","GAREM1"
5.51850375579808e-08,0.631391067280173,0.36,0.221,0.00121865118439289,"N3","AGPAT3"
1.4761878135773e-07,0.905790531255638,0.269,0.152,0.00325986554872275,"N3","AC078980.1"
1.99778347187707e-07,0.751800426139866,0.366,0.24,0.00441170524094613,"N3","AC044810.2"
2.00316124908602e-07,1.14012578801892,0.231,0.127,0.00442358098635666,"N3","ARHGAP8"
2.10866050573627e-07,0.834531848085817,0.258,0.148,0.00465655499481741,"N3","SYT7"
2.20841800005562e-07,1.07650290107469,0.177,0.086,0.00487684946952284,"N3","FBXO36"
