"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"STARmap","N1","ACTB",0.763951283059024,0.8,1
"STARmap","N1","LY6E",0.750712965792824,0.685714285714286,1
"STARmap","N1","SOX4",0.750179188367765,0.685714285714286,1
"STARmap","N1","TEAD1",0.731017312811331,0.685714285714286,1
"STARmap","N1","KRT7",0.725708888685697,0.8,1
"STARmap","N1","VGLL3",0.717312641831856,0.685714285714286,1
"STARmap","N1","COL4A1",0.71143757555042,0.8,1
"STARmap","N1","RPLP0",0.703840876377617,0.933333333333333,1
"STARmap","N1","PIK3CB",0.698202508623543,0.685714285714286,1
"STARmap","N1","KRT18",0.696475175726538,0.685714285714286,1
"STARmap","N1","HSPG2",0.693293917008485,0.571428571428571,1
"STARmap","N1","BZW2",0.693280385210021,0.685714285714286,1
"STARmap","N1","AFAP1",0.687802257643521,0.380952380952381,1
"STARmap","N1","MACF1",0.679919873642441,0.571428571428571,1
"STARmap","N1","TNFAIP3",0.657638580273472,0.571428571428571,1
"STARmap","N1","PHLDB2",0.656673590579767,0.685714285714286,1
"STARmap","N1","LINC00486",0.645052996696498,0.685714285714286,1
"STARmap","N1","COL4A2",0.635569560543285,0.8,1
"STARmap","N1","PPARG",0.626202730495858,0.933333333333333,1
"STARmap","N1","SLC39A8",0.608339767022892,0.8,1
"STARmap","N1","FOXJ3",0.604591259781817,0.685714285714286,1
"STARmap","N1","MYO1E",0.592524631242433,0.571428571428571,1
"STARmap","N1","PALLD",0.586414559868463,0.571428571428571,1
"STARmap","N1","TIAM1",0.578510936458276,0.685714285714286,1
"STARmap","N1","RPS2",0.575211348569908,0.933333333333333,1
"STARmap","N1","RPL39",0.564566841245538,0.685714285714286,1
"STARmap","N1","RPL13",0.551093654866456,0.933333333333333,1
"STARmap","N1","RPS24",0.54759769538774,0.8,1
"STARmap","N1","CCNE1",0.546330826120517,0.685714285714286,1
"STARmap","N1","LIMA1",0.54254198735906,0.8,1
"STARmap","N1","NAV1",0.534684165874802,0.571428571428571,1
"STARmap","N1","KMT2C",0.52701500152989,0.685714285714286,1
"STARmap","N1","LIFR",0.518497913707649,0.304761904761905,1
"STARmap","N1","ATP11A",0.510083286451943,0.571428571428571,1
"STARmap","N1","XYLT1",0.509133459256793,0.476190476190476,1
"STARmap","N1","CCSER1",0.508173056761651,0.685714285714286,1
"STARmap","N1","UBASH3B",0.507707637290653,0.933333333333333,1
"STARmap","N1","S100A11",0.500174142725189,0.933333333333333,1
"STARmap","N1","MFAP5",0.493766565591789,0.8,1
"STARmap","N1","ITGA5",0.475133904165083,0.571428571428571,1
"STARmap","N1","PSPC1",0.474193514263231,0.571428571428571,1
"STARmap","N1","RPS18",0.4618234481065,0.8,1
"STARmap","N1","H19",0.458299946453126,0.685714285714286,1
"STARmap","N1","RPL11",0.457081005951665,0.8,1
"STARmap","N1","PKP2",0.452011715468096,0.685714285714286,1
"STARmap","N1","EHBP1",0.445554401982844,0.380952380952381,1
"STARmap","N1","MIF",0.443106181490856,0.571428571428571,1
"STARmap","N1","MAN2A1",0.439552535374023,0.685714285714286,1
"STARmap","N1","AKAP9",0.429731779034049,0.476190476190476,1
"STARmap","N1","GPR78",0.426613746415174,0.571428571428571,1
"STARmap","N1","NLRP2",0.425559167480627,0.685714285714286,1
"STARmap","N1","ISM2",0.425499816382522,0.685714285714286,1
"STARmap","N1","TENM3",0.421524936726597,0.8,1
"STARmap","N1","KIF21A",0.414256534631943,0.685714285714286,1
"STARmap","N1","MMP2",0.407206524876481,0.571428571428571,1
"STARmap","N1","RPS19",0.405114438674048,1,1
"STARmap","N1","TSC22D1",0.403933792154305,0.933333333333333,1
"STARmap","N1","USP43",0.396629697278444,0.685714285714286,1
"STARmap","N1","RPS8",0.396086218722601,0.933333333333333,1
"STARmap","N1","PTBP3",0.392516287931428,0.933333333333333,1
"STARmap","N1","CLIC3",0.391555622490564,0.685714285714286,1
"STARmap","N1","MAML3",0.390993442478283,0.571428571428571,1
"STARmap","N1","C12orf75",0.389622556022307,0.304761904761905,1
"STARmap","N1","SH3BP5",0.389330735370065,0.571428571428571,1
"STARmap","N1","MAML2",0.388128148478554,0.571428571428571,1
"STARmap","N1","MYH10",0.387029866117447,0.571428571428571,1
